Lat,Long,EOF1,EOF2
  -20.0000000,    0.0000000,    0.0067920,    0.0059562
  -20.0000000,    2.5000000,    0.0086898,    0.0039047
  -20.0000000,    5.0000000,    0.0092725,    0.0050264
  -20.0000000,    7.5000000,    0.0142383,    0.0047788
  -20.0000000,   10.0000000,    0.0163287,    0.0110424
  -20.0000000,   12.5000000,    0.0230548,    0.0156040
  -20.0000000,   15.0000000,    0.0199916,    0.0390695
  -20.0000000,   17.5000000,    0.0000870,    0.0441673
  -20.0000000,   20.0000000,   -0.0096902,    0.0529551
  -20.0000000,   22.5000000,   -0.0423703,    0.0498599
  -20.0000000,   25.0000000,   -0.0542765,    0.0213470
  -20.0000000,   27.5000000,   -0.0543162,    0.0038073
  -20.0000000,   30.0000000,   -0.0480614,   -0.0121163
  -20.0000000,   32.5000000,   -0.0438509,   -0.0173780
  -20.0000000,   35.0000000,   -0.0410839,   -0.0351586
  -20.0000000,   37.5000000,   -0.0216920,   -0.0470635
  -20.0000000,   40.0000000,   -0.0078130,   -0.0463478
  -20.0000000,   42.5000000,    0.0080203,   -0.0483805
  -20.0000000,   45.0000000,    0.0218366,   -0.0366023
  -20.0000000,   47.5000000,    0.0235927,   -0.0287618
  -20.0000000,   50.0000000,    0.0301087,   -0.0228623
  -20.0000000,   52.5000000,    0.0350304,   -0.0188402
  -20.0000000,   55.0000000,    0.0555829,   -0.0029101
  -20.0000000,   57.5000000,    0.0471235,    0.0321725
  -20.0000000,   60.0000000,    0.0263427,    0.0383415
  -20.0000000,   62.5000000,    0.0129790,    0.0469908
  -20.0000000,   65.0000000,   -0.0065994,    0.0391649
  -20.0000000,   67.5000000,   -0.0093018,    0.0351581
  -20.0000000,   70.0000000,   -0.0229264,    0.0318823
  -20.0000000,   72.5000000,   -0.0258863,    0.0193679
  -20.0000000,   75.0000000,   -0.0258970,    0.0154445
  -20.0000000,   77.5000000,   -0.0251681,    0.0087796
  -20.0000000,   80.0000000,   -0.0194634,    0.0034773
  -20.0000000,   82.5000000,   -0.0129910,    0.0098819
  -20.0000000,   85.0000000,   -0.0214326,    0.0163995
  -20.0000000,   87.5000000,   -0.0229270,    0.0150344
  -20.0000000,   90.0000000,   -0.0290626,    0.0211857
  -20.0000000,   92.5000000,   -0.0399873,    0.0185005
  -20.0000000,   95.0000000,   -0.0486845,    0.0138186
  -20.0000000,   97.5000000,   -0.0558113,    0.0049522
  -20.0000000,  100.0000000,   -0.0618189,   -0.0068502
  -20.0000000,  102.5000000,   -0.0626102,   -0.0232794
  -20.0000000,  105.0000000,   -0.0575860,   -0.0412068
  -20.0000000,  107.5000000,   -0.0396125,   -0.0544595
  -20.0000000,  110.0000000,   -0.0299870,   -0.0533272
  -20.0000000,  112.5000000,   -0.0198411,   -0.0641921
  -20.0000000,  115.0000000,   -0.0016039,   -0.0595031
  -20.0000000,  117.5000000,    0.0062293,   -0.0558502
  -20.0000000,  120.0000000,    0.0200641,   -0.0459043
  -20.0000000,  122.5000000,    0.0220549,   -0.0333573
  -20.0000000,  125.0000000,    0.0216217,   -0.0239395
  -20.0000000,  127.5000000,    0.0162091,   -0.0208740
  -20.0000000,  130.0000000,    0.0180421,   -0.0187548
  -20.0000000,  132.5000000,    0.0168848,   -0.0183468
  -20.0000000,  135.0000000,    0.0236175,   -0.0123141
  -20.0000000,  137.5000000,    0.0145668,   -0.0028866
  -20.0000000,  140.0000000,    0.0129887,   -0.0064673
  -20.0000000,  142.5000000,    0.0099526,   -0.0010299
  -20.0000000,  145.0000000,    0.0037742,   -0.0008629
  -20.0000000,  147.5000000,   -0.0045178,    0.0002416
  -20.0000000,  150.0000000,   -0.0108065,   -0.0119685
  -20.0000000,  152.5000000,   -0.0038904,   -0.0159167
  -20.0000000,  155.0000000,   -0.0043108,   -0.0147967
  -20.0000000,  157.5000000,   -0.0072102,   -0.0177804
  -20.0000000,  160.0000000,   -0.0103889,   -0.0251013
  -20.0000000,  162.5000000,   -0.0051576,   -0.0342921
  -20.0000000,  165.0000000,    0.0013139,   -0.0376531
  -20.0000000,  167.5000000,    0.0123990,   -0.0439863
  -20.0000000,  170.0000000,    0.0266932,   -0.0351303
  -20.0000000,  172.5000000,    0.0252517,   -0.0265253
  -20.0000000,  175.0000000,    0.0293437,   -0.0259655
  -20.0000000,  177.5000000,    0.0313264,   -0.0224394
  -20.0000000,  180.0000000,    0.0412835,   -0.0189370
  -20.0000000,  182.5000000,    0.0415695,   -0.0000514
  -20.0000000,  185.0000000,    0.0340179,    0.0025104
  -20.0000000,  187.5000000,    0.0360679,    0.0121631
  -20.0000000,  190.0000000,    0.0183565,    0.0179858
  -20.0000000,  192.5000000,    0.0136848,    0.0046799
  -20.0000000,  195.0000000,    0.0191334,    0.0022145
  -20.0000000,  197.5000000,    0.0268202,    0.0029441
  -20.0000000,  200.0000000,    0.0254560,    0.0214887
  -20.0000000,  202.5000000,    0.0049923,    0.0193979
  -20.0000000,  205.0000000,    0.0129841,    0.0076366
  -20.0000000,  207.5000000,    0.0102295,    0.0188262
  -20.0000000,  210.0000000,    0.0048858,    0.0098001
  -20.0000000,  212.5000000,    0.0110913,    0.0108561
  -20.0000000,  215.0000000,    0.0116388,    0.0153257
  -20.0000000,  217.5000000,    0.0092051,    0.0228875
  -20.0000000,  220.0000000,   -0.0024022,    0.0244934
  -20.0000000,  222.5000000,   -0.0090359,    0.0197139
  -20.0000000,  225.0000000,   -0.0139320,    0.0130552
  -20.0000000,  227.5000000,   -0.0137772,    0.0054579
  -20.0000000,  230.0000000,   -0.0096889,    0.0006037
  -20.0000000,  232.5000000,   -0.0069212,    0.0022079
  -20.0000000,  235.0000000,   -0.0090000,   -0.0001606
  -20.0000000,  237.5000000,   -0.0067891,   -0.0030619
  -20.0000000,  240.0000000,   -0.0044785,   -0.0062358
  -20.0000000,  242.5000000,    0.0017999,   -0.0060286
  -20.0000000,  245.0000000,    0.0042543,   -0.0008312
  -20.0000000,  247.5000000,   -0.0002420,    0.0011872
  -20.0000000,  250.0000000,   -0.0010394,   -0.0022748
  -20.0000000,  252.5000000,    0.0003986,   -0.0011766
  -20.0000000,  255.0000000,    0.0010711,   -0.0042927
  -20.0000000,  257.5000000,    0.0084665,   -0.0010661
  -20.0000000,  260.0000000,    0.0055907,    0.0059234
  -20.0000000,  262.5000000,    0.0027247,    0.0059159
  -20.0000000,  265.0000000,    0.0024209,    0.0058082
  -20.0000000,  267.5000000,    0.0017805,    0.0090475
  -20.0000000,  270.0000000,   -0.0048451,    0.0080619
  -20.0000000,  272.5000000,   -0.0035766,    0.0046397
  -20.0000000,  275.0000000,   -0.0079491,    0.0069268
  -20.0000000,  277.5000000,   -0.0071666,   -0.0028194
  -20.0000000,  280.0000000,   -0.0002394,    0.0029665
  -20.0000000,  282.5000000,   -0.0069394,    0.0047863
  -20.0000000,  285.0000000,   -0.0066560,    0.0020917
  -20.0000000,  287.5000000,   -0.0081312,   -0.0020321
  -20.0000000,  290.0000000,    0.0035691,   -0.0027763
  -20.0000000,  292.5000000,    0.0010217,    0.0149233
  -20.0000000,  295.0000000,   -0.0105499,    0.0098365
  -20.0000000,  297.5000000,   -0.0145288,    0.0100285
  -20.0000000,  300.0000000,   -0.0335450,   -0.0013616
  -20.0000000,  302.5000000,   -0.0232856,   -0.0284126
  -20.0000000,  305.0000000,   -0.0043107,   -0.0272493
  -20.0000000,  307.5000000,    0.0002362,   -0.0263050
  -20.0000000,  310.0000000,    0.0187734,   -0.0204168
  -20.0000000,  312.5000000,    0.0167150,    0.0084106
  -20.0000000,  315.0000000,   -0.0051817,    0.0058179
  -20.0000000,  317.5000000,   -0.0015337,   -0.0000255
  -20.0000000,  320.0000000,   -0.0071968,    0.0018055
  -20.0000000,  322.5000000,   -0.0054592,   -0.0047612
  -20.0000000,  325.0000000,   -0.0063826,   -0.0077206
  -20.0000000,  327.5000000,    0.0020413,   -0.0113465
  -20.0000000,  330.0000000,    0.0004178,   -0.0036498
  -20.0000000,  332.5000000,   -0.0001775,   -0.0119447
  -20.0000000,  335.0000000,    0.0063540,   -0.0056448
  -20.0000000,  337.5000000,   -0.0010899,   -0.0047227
  -20.0000000,  340.0000000,    0.0025233,   -0.0090926
  -20.0000000,  342.5000000,    0.0056036,   -0.0081139
  -20.0000000,  345.0000000,    0.0089380,   -0.0059968
  -20.0000000,  347.5000000,    0.0090600,   -0.0031166
  -20.0000000,  350.0000000,    0.0105989,   -0.0020935
  -20.0000000,  352.5000000,    0.0107724,    0.0016612
  -20.0000000,  355.0000000,    0.0093494,    0.0022457
  -20.0000000,  357.5000000,    0.0102654,    0.0049206
  -17.5000000,    0.0000000,    0.0058106,    0.0070366
  -17.5000000,    2.5000000,    0.0098882,    0.0044744
  -17.5000000,    5.0000000,    0.0107092,    0.0079170
  -17.5000000,    7.5000000,    0.0151574,    0.0065662
  -17.5000000,   10.0000000,    0.0223726,    0.0124528
  -17.5000000,   12.5000000,    0.0333601,    0.0291783
  -17.5000000,   15.0000000,    0.0158721,    0.0650808
  -17.5000000,   17.5000000,   -0.0230299,    0.0595913
  -17.5000000,   20.0000000,   -0.0312028,    0.0506156
  -17.5000000,   22.5000000,   -0.0591797,    0.0411252
  -17.5000000,   25.0000000,   -0.0647999,    0.0056006
  -17.5000000,   27.5000000,   -0.0572746,   -0.0096893
  -17.5000000,   30.0000000,   -0.0482530,   -0.0303373
  -17.5000000,   32.5000000,   -0.0308918,   -0.0324089
  -17.5000000,   35.0000000,   -0.0268037,   -0.0406001
  -17.5000000,   37.5000000,   -0.0067076,   -0.0472837
  -17.5000000,   40.0000000,    0.0046504,   -0.0431703
  -17.5000000,   42.5000000,    0.0221633,   -0.0373318
  -17.5000000,   45.0000000,    0.0247168,   -0.0158122
