Lat,Long,EOF1,EOF2
  -20.0000000,    0.0000000,    0.0013196,   -0.0176488
  -20.0000000,    2.5000000,    0.0018458,   -0.0172967
  -20.0000000,    5.0000000,    0.0011137,   -0.0161645
  -20.0000000,    7.5000000,    0.0008134,   -0.0217259
  -20.0000000,   10.0000000,    0.0073780,   -0.0208741
  -20.0000000,   12.5000000,    0.0094570,   -0.0219134
  -20.0000000,   15.0000000,    0.0216707,   -0.0154012
  -20.0000000,   17.5000000,    0.0173845,    0.0006484
  -20.0000000,   20.0000000,    0.0079327,    0.0023300
  -20.0000000,   22.5000000,    0.0022295,   -0.0025497
  -20.0000000,   25.0000000,    0.0051936,   -0.0039077
  -20.0000000,   27.5000000,   -0.0009019,   -0.0012917
  -20.0000000,   30.0000000,   -0.0019877,   -0.0077931
  -20.0000000,   32.5000000,   -0.0013539,   -0.0117412
  -20.0000000,   35.0000000,    0.0037247,   -0.0148193
  -20.0000000,   37.5000000,    0.0023792,   -0.0127799
  -20.0000000,   40.0000000,    0.0059500,   -0.0182837
  -20.0000000,   42.5000000,    0.0063885,   -0.0147788
  -20.0000000,   45.0000000,    0.0118158,   -0.0234227
  -20.0000000,   47.5000000,    0.0274616,   -0.0123099
  -20.0000000,   50.0000000,    0.0191230,   -0.0001761
  -20.0000000,   52.5000000,    0.0149137,   -0.0015714
  -20.0000000,   55.0000000,    0.0137213,    0.0008767
  -20.0000000,   57.5000000,    0.0095133,    0.0035250
  -20.0000000,   60.0000000,    0.0035009,    0.0042799
  -20.0000000,   62.5000000,   -0.0028663,    0.0013135
  -20.0000000,   65.0000000,   -0.0035741,   -0.0064470
  -20.0000000,   67.5000000,    0.0006701,   -0.0097422
  -20.0000000,   70.0000000,    0.0043847,   -0.0123115
  -20.0000000,   72.5000000,    0.0104231,   -0.0085056
  -20.0000000,   75.0000000,    0.0068288,   -0.0023004
  -20.0000000,   77.5000000,    0.0032588,   -0.0062436
  -20.0000000,   80.0000000,    0.0066261,   -0.0071900
  -20.0000000,   82.5000000,    0.0043371,   -0.0061696
  -20.0000000,   85.0000000,    0.0064803,   -0.0112114
  -20.0000000,   87.5000000,    0.0100187,   -0.0090422
  -20.0000000,   90.0000000,    0.0111518,   -0.0091305
  -20.0000000,   92.5000000,    0.0159831,   -0.0055710
  -20.0000000,   95.0000000,    0.0126974,    0.0007439
  -20.0000000,   97.5000000,    0.0065523,    0.0014868
  -20.0000000,  100.0000000,    0.0030354,   -0.0031383
  -20.0000000,  102.5000000,    0.0062664,   -0.0077239
  -20.0000000,  105.0000000,    0.0088287,   -0.0049465
  -20.0000000,  107.5000000,    0.0056313,   -0.0048801
  -20.0000000,  110.0000000,    0.0073049,   -0.0069303
  -20.0000000,  112.5000000,    0.0047506,   -0.0048531
  -20.0000000,  115.0000000,    0.0029611,   -0.0091911
  -20.0000000,  117.5000000,    0.0028439,   -0.0130876
  -20.0000000,  120.0000000,    0.0061321,   -0.0204607
  -20.0000000,  122.5000000,    0.0169867,   -0.0272630
  -20.0000000,  125.0000000,    0.0353932,   -0.0239024
  -20.0000000,  127.5000000,    0.0429766,   -0.0034847
  -20.0000000,  130.0000000,    0.0365867,    0.0086965
  -20.0000000,  132.5000000,    0.0300016,    0.0183749
  -20.0000000,  135.0000000,    0.0201298,    0.0198004
  -20.0000000,  137.5000000,    0.0198482,    0.0205524
  -20.0000000,  140.0000000,    0.0157238,    0.0266214
  -20.0000000,  142.5000000,    0.0062783,    0.0290727
  -20.0000000,  145.0000000,   -0.0041758,    0.0243430
  -20.0000000,  147.5000000,   -0.0051114,    0.0148195
  -20.0000000,  150.0000000,    0.0007203,    0.0134866
  -20.0000000,  152.5000000,   -0.0026580,    0.0156957
  -20.0000000,  155.0000000,   -0.0013512,    0.0086461
  -20.0000000,  157.5000000,    0.0033357,    0.0155152
  -20.0000000,  160.0000000,   -0.0054257,    0.0154098
  -20.0000000,  162.5000000,   -0.0051853,    0.0115946
  -20.0000000,  165.0000000,   -0.0065040,    0.0086964
  -20.0000000,  167.5000000,   -0.0020790,    0.0088968
  -20.0000000,  170.0000000,   -0.0078393,    0.0147657
  -20.0000000,  172.5000000,   -0.0158959,    0.0078610
  -20.0000000,  175.0000000,   -0.0117207,   -0.0031960
  -20.0000000,  177.5000000,   -0.0002123,   -0.0027401
  -20.0000000,  180.0000000,    0.0015609,    0.0043777
  -20.0000000,  182.5000000,    0.0002438,    0.0105367
  -20.0000000,  185.0000000,   -0.0075360,    0.0149009
  -20.0000000,  187.5000000,   -0.0169028,    0.0125210
  -20.0000000,  190.0000000,   -0.0217628,    0.0043284
  -20.0000000,  192.5000000,   -0.0230097,    0.0004315
  -20.0000000,  195.0000000,   -0.0274328,   -0.0063400
  -20.0000000,  197.5000000,   -0.0232545,   -0.0137975
  -20.0000000,  200.0000000,   -0.0226360,   -0.0165950
  -20.0000000,  202.5000000,   -0.0190530,   -0.0210543
  -20.0000000,  205.0000000,   -0.0189313,   -0.0238957
  -20.0000000,  207.5000000,   -0.0108498,   -0.0324661
  -20.0000000,  210.0000000,   -0.0011153,   -0.0289181
  -20.0000000,  212.5000000,    0.0003481,   -0.0301162
  -20.0000000,  215.0000000,    0.0127498,   -0.0338150
  -20.0000000,  217.5000000,    0.0212720,   -0.0229755
  -20.0000000,  220.0000000,    0.0216249,   -0.0211054
  -20.0000000,  222.5000000,    0.0322284,   -0.0112349
  -20.0000000,  225.0000000,    0.0246305,    0.0036809
  -20.0000000,  227.5000000,    0.0194151,    0.0085294
  -20.0000000,  230.0000000,    0.0053708,    0.0165799
  -20.0000000,  232.5000000,   -0.0055393,    0.0055602
  -20.0000000,  235.0000000,   -0.0049147,   -0.0006457
  -20.0000000,  237.5000000,   -0.0046298,   -0.0060821
  -20.0000000,  240.0000000,   -0.0033489,   -0.0094599
  -20.0000000,  242.5000000,    0.0012914,   -0.0134430
  -20.0000000,  245.0000000,    0.0064253,   -0.0108664
  -20.0000000,  247.5000000,    0.0081626,   -0.0093052
  -20.0000000,  250.0000000,    0.0092278,   -0.0070611
  -20.0000000,  252.5000000,    0.0116583,   -0.0065462
  -20.0000000,  255.0000000,    0.0111876,   -0.0006818
  -20.0000000,  257.5000000,    0.0074490,   -0.0017506
  -20.0000000,  260.0000000,    0.0076161,   -0.0007558
  -20.0000000,  262.5000000,    0.0076168,   -0.0009404
  -20.0000000,  265.0000000,    0.0070226,    0.0039222
  -20.0000000,  267.5000000,    0.0004221,    0.0017944
  -20.0000000,  270.0000000,    0.0031900,   -0.0011358
  -20.0000000,  272.5000000,    0.0020948,    0.0013083
  -20.0000000,  275.0000000,   -0.0008864,   -0.0006328
  -20.0000000,  277.5000000,    0.0006626,   -0.0038638
  -20.0000000,  280.0000000,    0.0022229,   -0.0024065
  -20.0000000,  282.5000000,    0.0007225,   -0.0029536
  -20.0000000,  285.0000000,    0.0003759,   -0.0033443
  -20.0000000,  287.5000000,   -0.0006325,   -0.0086889
  -20.0000000,  290.0000000,    0.0068383,   -0.0125490
  -20.0000000,  292.5000000,    0.0133461,   -0.0073130
  -20.0000000,  295.0000000,    0.0119762,    0.0008294
  -20.0000000,  297.5000000,    0.0034115,   -0.0012834
  -20.0000000,  300.0000000,    0.0091237,   -0.0059697
  -20.0000000,  302.5000000,    0.0164631,    0.0016195
  -20.0000000,  305.0000000,    0.0169445,    0.0096959
  -20.0000000,  307.5000000,    0.0115734,    0.0175087
  -20.0000000,  310.0000000,    0.0092740,    0.0195728
  -20.0000000,  312.5000000,    0.0022292,    0.0338503
  -20.0000000,  315.0000000,   -0.0246377,    0.0264332
  -20.0000000,  317.5000000,   -0.0196374,    0.0023396
  -20.0000000,  320.0000000,   -0.0131371,    0.0032335
  -20.0000000,  322.5000000,   -0.0111330,   -0.0028479
  -20.0000000,  325.0000000,   -0.0060339,    0.0018770
  -20.0000000,  327.5000000,   -0.0099366,    0.0019649
  -20.0000000,  330.0000000,   -0.0090619,    0.0043780
