Lat,Long,EOF1,EOF2
  -20.0000000,    0.0000000,    0.0077987,    0.0074291
  -20.0000000,    2.5000000,    0.0077209,    0.0063850
  -20.0000000,    5.0000000,    0.0068946,    0.0023478
  -20.0000000,    7.5000000,    0.0068012,   -0.0017178
  -20.0000000,   10.0000000,    0.0084705,   -0.0017308
  -20.0000000,   12.5000000,    0.0120773,   -0.0093059
  -20.0000000,   15.0000000,    0.0231831,   -0.0074164
  -20.0000000,   17.5000000,    0.0330910,   -0.0230742
  -20.0000000,   20.0000000,    0.0333996,   -0.0497594
  -20.0000000,   22.5000000,    0.0335169,   -0.0368978
  -20.0000000,   25.0000000,    0.0268253,   -0.0119585
  -20.0000000,   27.5000000,    0.0233128,    0.0071016
  -20.0000000,   30.0000000,    0.0213079,    0.0126854
  -20.0000000,   32.5000000,    0.0162318,    0.0023049
  -20.0000000,   35.0000000,    0.0161109,    0.0105709
  -20.0000000,   37.5000000,    0.0144102,    0.0182139
  -20.0000000,   40.0000000,    0.0131972,    0.0204356
  -20.0000000,   42.5000000,    0.0146080,    0.0214263
  -20.0000000,   45.0000000,    0.0123045,    0.0237450
  -20.0000000,   47.5000000,    0.0139300,    0.0198116
  -20.0000000,   50.0000000,    0.0175768,    0.0239328
  -20.0000000,   52.5000000,    0.0169367,    0.0127443
  -20.0000000,   55.0000000,    0.0187038,    0.0057536
  -20.0000000,   57.5000000,    0.0198356,   -0.0006849
  -20.0000000,   60.0000000,    0.0215359,   -0.0123814
  -20.0000000,   62.5000000,    0.0200088,   -0.0118371
  -20.0000000,   65.0000000,    0.0209658,   -0.0189389
  -20.0000000,   67.5000000,    0.0208476,   -0.0325977
  -20.0000000,   70.0000000,    0.0207094,   -0.0328413
  -20.0000000,   72.5000000,    0.0215745,   -0.0233765
  -20.0000000,   75.0000000,    0.0243121,   -0.0478003
  -20.0000000,   77.5000000,    0.0225308,   -0.0344441
  -20.0000000,   80.0000000,    0.0163506,   -0.0108534
  -20.0000000,   82.5000000,    0.0145078,   -0.0155681
  -20.0000000,   85.0000000,    0.0110015,   -0.0098611
  -20.0000000,   87.5000000,    0.0105025,   -0.0095024
  -20.0000000,   90.0000000,    0.0110594,   -0.0119577
  -20.0000000,   92.5000000,    0.0101391,   -0.0101669
  -20.0000000,   95.0000000,    0.0091881,   -0.0045001
  -20.0000000,   97.5000000,    0.0073909,   -0.0004459
  -20.0000000,  100.0000000,    0.0058406,   -0.0015528
  -20.0000000,  102.5000000,    0.0060932,   -0.0004917
  -20.0000000,  105.0000000,    0.0054152,    0.0041770
  -20.0000000,  107.5000000,    0.0099801,    0.0018629
  -20.0000000,  110.0000000,    0.0116929,   -0.0054434
  -20.0000000,  112.5000000,    0.0118501,   -0.0015114
  -20.0000000,  115.0000000,    0.0155732,   -0.0122268
  -20.0000000,  117.5000000,    0.0139450,   -0.0039739
  -20.0000000,  120.0000000,    0.0115322,   -0.0013519
  -20.0000000,  122.5000000,    0.0142761,   -0.0129094
  -20.0000000,  125.0000000,    0.0141273,   -0.0006210
  -20.0000000,  127.5000000,    0.0158607,    0.0053150
  -20.0000000,  130.0000000,    0.0152570,    0.0106196
  -20.0000000,  132.5000000,    0.0198476,    0.0122865
  -20.0000000,  135.0000000,    0.0185831,    0.0029902
  -20.0000000,  137.5000000,    0.0160637,   -0.0027249
  -20.0000000,  140.0000000,    0.0154388,    0.0032537
  -20.0000000,  142.5000000,    0.0113829,    0.0147706
  -20.0000000,  145.0000000,    0.0151642,    0.0141500
  -20.0000000,  147.5000000,    0.0121353,    0.0104404
  -20.0000000,  150.0000000,    0.0135172,    0.0076329
  -20.0000000,  152.5000000,    0.0124857,    0.0041600
  -20.0000000,  155.0000000,    0.0118159,    0.0072444
  -20.0000000,  157.5000000,    0.0137254,    0.0060050
  -20.0000000,  160.0000000,    0.0137205,   -0.0003841
  -20.0000000,  162.5000000,    0.0143755,    0.0032487
  -20.0000000,  165.0000000,    0.0142870,    0.0117901
  -20.0000000,  167.5000000,    0.0121867,    0.0131361
  -20.0000000,  170.0000000,    0.0129999,    0.0243805
  -20.0000000,  172.5000000,    0.0115006,    0.0237089
  -20.0000000,  175.0000000,    0.0131402,    0.0280905
  -20.0000000,  177.5000000,    0.0140154,    0.0258613
  -20.0000000,  180.0000000,    0.0145644,    0.0196748
