,a,b
0,"[-40.406778377110726, -1082.624048740894, 2619.978010759598]","[0.13494152545482993, 3.6273986685683695, -8.78933442455008]"
1,"[108.65623245296203, -1286.790114970236, -2092.6696121718755]","[-0.3699705270140091, 4.316710231883931, 7.020101370227268]"
2,"[208.58837731476635, -962.858305731942, -2171.9972199065273]","[-0.7079464794030437, 3.23324825529749, 7.291174650196339]"
3,"[-82.76584980590447, -786.9147257150332, -56.246686118364764]","[0.27511425443601917, 2.645969682882841, 0.18799184127132482]"
4,"[-102.79590354422484, -393.22606043948554, 243.6153722270406]","[0.34399454633567594, 1.3260842428587167, -0.816613094466399]"
5,"[nan, nan, nan]","[nan, nan, nan]"
6,"[nan, nan, nan]","[nan, nan, nan]"
7,"[nan, nan, nan]","[nan, nan, nan]"
8,"[nan, nan, nan]","[nan, nan, nan]"
9,"[nan, nan, nan]","[nan, nan, nan]"
10,"[nan, nan, nan]","[nan, nan, nan]"
11,"[nan, nan, nan]","[nan, nan, nan]"
12,"[nan, nan, nan]","[nan, nan, nan]"
13,"[nan, nan, nan]","[nan, nan, nan]"
14,"[nan, nan, nan]","[nan, nan, nan]"
15,"[nan, nan, nan]","[nan, nan, nan]"
16,"[nan, nan, nan]","[nan, nan, nan]"
17,"[775.6346664905342, 529.1283599437348, 887.7647558871462]","[-2.5592818736826493, -1.74887181904241, -2.930155805578521]"
18,"[504.16218514488577, 160.77620465216216, 2026.2635589612928]","[-1.6585782512142713, -0.5308250763457721, -6.698016225491786]"
19,"[nan, nan, nan]","[nan, nan, nan]"
20,"[nan, nan, nan]","[nan, nan, nan]"
21,"[781.9818299575041, -490.27463128489455, -723.0643996476]","[-2.5707672349829234, 1.6182258644455614, 2.397955933833041]"
22,"[993.8545188806578, -427.4713169419972, 418.63773334474234]","[-3.2699195591283847, 1.4104320526934895, -1.3820293213851083]"
23,"[1053.0182228215797, -623.3609633262561, -1150.4911911197378]","[-3.467186199410393, 2.059660611044942, 3.8100687416170325]"
24,"[1162.3932625191367, -951.2919101935811, -509.70897666225613]","[-3.830476466778519, 3.1477169223471875, 1.6903160464790208]"
25,"[123.92102243109689, -864.1378955387099, -892.3263642294179]","[-0.3885840324170638, 2.866080288119435, 2.9520837567150777]"
26,"[221.04730078202616, -455.5048710442338, -1298.3039039251948]","[-0.7120743910551729, 1.5120604174165828, 4.294096153869636]"
27,"[2376.499770857155, 633.185203510139, -989.1774718182184]","[-7.847098194428559, -2.096924620549865, 3.270936354982369]"
28,"[2670.842715759975, 746.1205134223534, 532.1481195403599]","[-8.823913855481738, -2.471727597279716, -1.7566917781076863]"
29,"[542.4026065138788, 1658.3103581927853, 1214.3086901228342]","[-1.7785141584971922, -5.4998552385435415, -4.010944932765959]"
30,"[4082.0502483628034, 2249.9869046873932, 402.50783277602335]","[-13.505046288195057, -7.465424245069169, -1.3297493245455]"
31,"[3742.596907013645, 1685.8379594489334, -112.29460892846768]","[-12.379270329564282, -5.587458461201387, 0.37198174030276654]"
32,"[3491.146780454097, 407.74059924534214, -1023.9052071432218]","[-11.53285999621016, -1.3530729154351715, 3.3851223200213942]"
33,"[1084.837168682035, 1572.4013646301426, -1395.4061436398517]","[-3.576037414796398, -5.2117608605475825, 4.616243838852439]"
34,"[-2487.720328144049, -2955.018121319213, -702.0905475214068]","[8.255204556126614, 9.784438910321112, 2.3243916634813613]"
35,"[-282.4323189236069, -1225.6661655108703, -711.161039311101]","[0.9481964285187443, 4.058720265703292, 2.35549875392218]"
36,"[-14.818131000739301, -3142.892583071265, -1146.5198109297887]","[0.05750560411442479, 10.412704169502248, 3.8022758621721153]"
37,"[289.0452191273237, -174.62717577432733, -505.88877356381266]","[-0.9559695274828375, 0.5763428012799094, 1.680116583688571]"
38,"[18.57940751329183, 1272.6455831465933, -852.0024536099236]","[-0.05642266732858808, -4.220188853403212, 2.8323990059678095]"
39,"[49.29087015807057, 1051.6014429991126, 7.626805225159208]","[-0.15744206070236458, -3.4912069729447546, -0.0216072839456088]"
40,"[246.90679191642496, -708.2614413908008, -225.05373847629303]","[-0.8153061680217932, 2.349025702566687, 0.7493254615960779]"
41,"[598.2131701091604, -572.3024984486268, -91.48550148010908]","[-1.980864318212889, 1.8950545019687959, 0.3067661192724638]"
42,"[689.7083228818177, 909.7045589164946, -306.8204989254639]","[-2.278467316212262, -3.0187763694870973, 1.0186116629569018]"
43,"[-422.0900746013691, -1185.8248143095705, -52.33783810983057]","[1.4103564601658476, 3.9272856744861615, 0.176043851797826]"
44,"[1058.0014485488043, -333.49122656998594, -526.0119075250302]","[-3.512408931870062, 1.0948489496156233, 1.7409255796343093]"
45,"[2067.6936192343865, 103.59446705090063, 581.149291782371]","[-6.846615519838337, -0.35308475956325663, -1.913621300715708]"
46,"[1330.2160280810376, 1077.271885256742, 1504.0476786956426]","[-4.395056787299966, -3.5686808741075815, -4.958154199580976]"
47,"[1100.2627447440573, 1509.3087540262595, 1791.1407755137486]","[-3.629126582910106, -4.986941467415793, -5.907358204116]"
