,a,b
0,"[8351.917358344643, -4238.235668377918, 1640.1387300030333, 1151.408428577853]","[-28.573228212935582, 14.507532704401248, -5.584824873577225, -3.909557816435624]"
1,"[-5916.2433970432785, -3748.9341316654654, 641.5185069694451, 1047.6863159175916]","[20.25115485888984, 12.836831024311964, -2.1855332473662075, -3.5591968665352227]"
2,"[876.3614977768216, -3623.3976712182753, 140.5409312454754, 761.7405708995159]","[-3.026170380845723, 12.427926665718388, -0.4761555109935619, -2.591666543155641]"
3,"[-1546.4322010828898, -2162.9530212860254, 44.48895728276826, -1763.8482383299774]","[5.294900314108459, 7.4038454330210675, -0.1498582224112475, 5.964063302948477]"
4,"[-4241.112415714403, -1249.6520906751691, -104.47599061044257, 1371.630436176366]","[14.51933788342252, 4.275404807476426, 0.3551167765183548, -4.664608383408544]"
5,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
6,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
7,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
8,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
9,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
10,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
11,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
12,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
13,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
14,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
15,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
16,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
17,"[-582.9584996256441, 847.9910200474359, -3253.6309878799057, 4011.4334579347765]","[1.9481691089483129, -2.820706719981749, 10.77621473276783, -13.292515331875947]"
18,"[-538.2215016551856, -939.216539387784, -5574.348383579545, 2994.9130092973605]","[1.7961218025747243, 3.1354620916007687, 18.471297088832475, -9.916495806131241]"
19,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
20,"[nan, nan, nan, nan]","[nan, nan, nan, nan]"
21,"[-875.0953418061819, -2154.034132448373, 1615.7736850477374, 149.6261163642283]","[2.9224710341874784, 7.198425473352495, -5.39477884013788, -0.5021237271286958]"
22,"[3272.913546423085, -2780.7795165211783, 3009.7101498258617, 204.254619181456]","[-10.975708413136196, 9.296046345056144, -10.047629125688262, -0.6843832077338292]"
23,"[5774.45467800518, -2792.1313332870905, 3983.326145799435, 299.0302961713589]","[-19.367744333067442, 9.341289323073168, -13.297128301396, -0.9997464448735943]"
24,"[5975.635877571732, -2891.763495324399, 3886.667776701875, 277.7266954093249]","[-20.04632477387523, 9.67729790727285, -12.975241115062536, -0.9279159459058567]"
25,"[4872.461714767449, -1279.1135976835706, 4170.13283334814, -182.96035058163494]","[-16.34898822739051, 4.282431233729509, -13.926239493821353, 0.6027274635649451]"
26,"[1573.3808909669763, -1550.1814551229797, 4283.516182613338, 93.64305096033007]","[-5.289555531133956, 5.1909576169260605, -14.308470348936433, -0.31371076533575853]"
27,"[4645.709623560294, -100.7625871915103, 4666.842761597895, -1180.1195908296907]","[-15.602410159747379, 0.33587849098326744, -15.57656863116906, 3.9128786733376173]"
