,a,b
77,"[760.76947715783, 2343.837263987838, 2466.088517638782]","[-2.504575453416282, -7.7722986431643655, -8.13954216031285]"
78,"[-204.48383969929682, 5448.369499107009, 5464.64994180773]","[0.686587281589358, -18.03768465326628, -18.043588181774386]"
79,"[-577.6400421400452, 4893.196229995784, 3921.9621967481253]","[1.9211127714829443, -16.203308717016476, -12.95564780254579]"
80,"[-559.621326459034, -766.5125436098527, -4152.464708206538]","[1.860652170948124, 2.519561754445846, 13.723725956332022]"
81,"[-745.4456594897266, -6296.679485431915, 2945.2873688124228]","[2.473879135403658, 20.814397006886423, -9.728302863352752]"
82,"[-13.25349360651387, -6525.554351937614, -84.56183114917401]","[0.05232696935525201, 21.59260117843552, 0.2836541440370816]"
83,"[-5.611447033184627, -5978.4850970121215, 1320.778379506866]","[0.024471613655707283, 19.78298204426223, -4.366615833220913]"
84,"[744.3146708847943, -10277.156383167543, -888.3490677856388]","[-2.4562916082679798, 34.019036474642405, 2.941873172126992]"
85,"[550.3370762546, -10431.92120248141, 2133.3723161334515]","[-1.8153976798527858, 34.55086122730178, -7.066629764910098]"
86,"[440.50950646948615, -11273.942914709236, 4225.6610210423605]","[-1.4526580794776425, 37.348221569320714, -14.001640751023334]"
87,"[-739.8564140879233, -14297.320044165574, 5637.954554653417]","[2.455081657553925, 47.377225580822575, -18.688158492152915]"
88,"[-1408.5758754874148, -4241.144870997891, 12909.61817257807]","[4.666844743201871, 14.073556022466319, -42.805479969765955]"
89,"[-600.0474799575223, -2213.428316328634, 8486.990431237198]","[1.98293906049897, 7.355924254632989, -28.170416616213497]"
90,"[984.5196436982054, -2292.0884224682577, 8082.939785218246]","[-3.2851383132509455, 7.623799311260659, -26.845839464132535]"
91,"[608.3891990870281, -4539.5302949821025, 3266.7412085919177]","[-2.0468229231473036, 15.093456958840722, -10.869693035987835]"
92,"[1835.688045411718, -9028.611236643841, 8441.976866122941]","[-6.140332661366028, 30.039730452400473, -28.076820348848845]"
93,"[1054.4897673290286, -3008.197465848361, 8788.876811989427]","[-3.5484634322765034, 10.019631240292885, -29.253701754403565]"
94,"[1892.7169564139167, -4565.923408499529, 8416.140245235887]","[-6.35223063455941, 15.214875366472976, -28.046476865927158]"
95,"[531.5964528908185, 624.8875757465644, 2093.461436304186]","[-1.8180162158287931, -2.079686849499127, -6.997216688861876]"
96,"[794.5577684922342, 1484.7288058904237, 1755.4163030145994]","[-2.6965193693612135, -4.953316025627825, -5.877885861417397]"
97,"[-699.0919545013296, -6183.819942959506, -46.20537683969292]","[2.2996829631697637, 20.66632124930752, 0.13676598144767238]"
98,"[1077.507666534543, 14844.04397532045, 5116.424190162045]","[-3.640510465240282, -49.6673804226261, -17.11869914543104]"
99,"[2337.5179958238177, -7767.612376736386, 5976.639867462701]","[-7.861396581787538, 26.01103721363735, -20.01022315633472]"
100,"[794.4331831722382, -4564.405081033908, 5139.505570043617]","[-2.6797492440263673, 15.2920470768126, -17.215555048646966]"
101,"[650.5441012037389, -4846.682641432793, 6041.655453428669]","[-2.190788383514572, 16.259598274541023, -20.24874625129279]"
102,"[1153.1342365696933, -5578.837958694707, 7057.8471645379905]","[-3.877199358739798, 18.747988092999815, -23.675213038112705]"
103,"[-2.127331033299057, 3411.4645470366536, 3318.189033109926]","[0.023998671537592872, -11.475812750496862, -11.122524806606695]"
104,"[-280.1194075870645, -5008.56589968954, -469.41841919405203]","[0.9720569423055251, 16.85961219321125, 1.6072333350892114]"
105,"[-526.0393924436775, -2269.3737338633914, -2504.748141588907]","[1.812927604340778, 7.641470906259356, 8.45591577928055]"
106,"[-508.623146777723, -1234.1336220354815, -4442.028070162589]","[1.763791033664268, 4.153669112006088, 14.970663729091473]"
107,"[4.142864744016641, -1095.6640191640133, -2480.2461225020797]","[0.03540992567356208, 3.6850695944979135, 8.364830523563846]"
108,"[831.7916455684791, -232.82885864225912, -7443.372944475084]","[-2.7645516213858863, 0.7702556595187791, 25.055520029176744]"
109,"[1671.045595124657, -576.6515417166097, -2899.4173251931984]","[-5.609355624098461, 1.928925973009775, 9.76045776630143]"
110,"[2211.865024918112, -904.9545861330979, -4637.664237597972]","[-7.450043351712883, 3.0341806887284473, 15.595626841853868]"
111,"[3284.404549410089, -1037.8385572874502, -4527.255918121739]","[-11.076862588567502, 3.4781124517749618, 15.190006986081597]"
112,"[2962.105552599881, -1023.6546127703864, -2395.809291377814]","[-9.977435368432584, 3.4313675662092593, 8.040863612423069]"
113,"[1789.7426107899626, -1326.890951866023, -1991.997072944805]","[-6.029875750266418, 4.455297353800434, 6.701465584657626]"
114,"[nan, nan, nan]","[nan, nan, nan]"
115,"[nan, nan, nan]","[nan, nan, nan]"
116,"[nan, nan, nan]","[nan, nan, nan]"
117,"[nan, nan, nan]","[nan, nan, nan]"
118,"[nan, nan, nan]","[nan, nan, nan]"
119,"[nan, nan, nan]","[nan, nan, nan]"
120,"[nan, nan, nan]","[nan, nan, nan]"
121,"[nan, nan, nan]","[nan, nan, nan]"
122,"[nan, nan, nan]","[nan, nan, nan]"
123,"[nan, nan, nan]","[nan, nan, nan]"
124,"[nan, nan, nan]","[nan, nan, nan]"
125,"[nan, nan, nan]","[nan, nan, nan]"
126,"[nan, nan, nan]","[nan, nan, nan]"
127,"[nan, nan, nan]","[nan, nan, nan]"
128,"[nan, nan, nan]","[nan, nan, nan]"
129,"[1555.0950862854454, 2144.453951373968, 9781.150796028669]","[-5.167622569766622, -7.099375407678681, -32.39446748510432]"
130,"[1493.9630726745354, 2240.979184226962, 6228.519175051295]","[-4.96994902244851, -7.430441872287362, -20.650840228547352]"
131,"[1286.659136316839, 1775.5461564495502, 4849.767518514782]","[-4.291677127851415, -5.8934273608258145, -16.0948210764365]"
132,"[607.8771597605712, -275.78867467940285, 1795.073667758282]","[-2.0393937370151303, 0.9238629236557977, -5.966121088756071]"
133,"[153.59114795425307, -976.6848960397637, 966.0193947953468]","[-0.5294650269596222, 3.2603614366089637, -3.2143182416047242]"
134,"[-88.69811973369363, -152.27857387088872, -2092.6417526139794]","[0.2759798161037623, 0.5151916188915604, 6.962690283207425]"
135,"[-509.9409373930187, -2690.5349842310666, -1040.4880100742018]","[1.684214025970761, 8.984154321624786, 3.463121790309582]"
136,"[-1143.8112389339174, -1921.1019018390132, -1941.8812771819084]","[3.8103024785782056, 6.423205533625833, 6.4728608783961725]"
137,"[-1178.0129037013212, 2523.0080043081107, -1045.1205918373391]","[3.928909126690044, -8.421792913959527, 3.489192016556217]"
138,"[-1414.689019343774, 5534.813003366271, -365.2974469521486]","[4.728358272065269, -18.496172224728163, 1.224976499958023]"
139,"[-1782.8062859014192, 6682.740706574581, -4691.898220131674]","[5.969011361151222, -22.345347508888587, 15.681389202373023]"
140,"[-1690.47881899685, 4963.031643368995, -6961.5660085360305]","[5.660894672487767, -16.591174271894086, 23.264710120268692]"
141,"[-1667.2118040137793, 4043.209325950899, -5127.840188222285]","[5.588854161617419, -13.525781669311753, 17.15161044302716]"
142,"[-1453.543322953615, 904.115407445704, -7350.330637704682]","[4.877550254268308, -3.0243124769909446, 24.61401238679559]"
143,"[-1400.83383995884, -3406.3345336097136, 1178.5048972313914]","[4.704553234747063, 11.426344306412462, -3.9452646033367187]"
144,"[-1295.4895855404643, 3950.5396113613497, -8182.610333287214]","[4.347235928116174, -13.231755881308569, 27.385309184424862]"
145,"[-844.3945303221409, 1364.7456250364662, -7221.4987473617575]","[2.833615807485448, -4.570638092015576, 24.1712960114]"
146,"[-515.0458729684958, 637.4324662144699, 4810.61777680706]","[1.7281235627786518, -2.1284651098011804, -16.090273371239647]"
147,"[-122.42174393914098, -283.8233911283014, -5830.6568635082385]","[0.41142274591168815, 0.956589731480142, 19.490405812521182]"
148,"[824.0014259317078, -581.6873459086194, -1079.1911579938862]","[-2.7573694130516295, 1.9543765129311848, 3.6087814839256027]"
149,"[1173.109327220557, 1128.0217428570663, -2484.7267429613194]","[-3.9150245954877807, -3.742466478042043, 8.240861789025315]"
150,"[nan, nan, nan]","[nan, nan, nan]"
151,"[nan, nan, nan]","[nan, nan, nan]"
152,"[nan, nan, nan]","[nan, nan, nan]"
153,"[nan, nan, nan]","[nan, nan, nan]"
154,"[nan, nan, nan]","[nan, nan, nan]"
155,"[nan, nan, nan]","[nan, nan, nan]"
156,"[nan, nan, nan]","[nan, nan, nan]"
157,"[nan, nan, nan]","[nan, nan, nan]"
158,"[nan, nan, nan]","[nan, nan, nan]"
159,"[nan, nan, nan]","[nan, nan, nan]"
