,a,b
63,"[6252.705310715533, -10561.427076372871, -14676.874732184111]","[-20.63356432344103, 34.893586054025526, 48.5375985710107]"
64,"[-935.6107687872648, -5026.567545106502, -11391.99603786396]","[3.146429588340003, 16.600936452184744, 37.626464422460565]"
65,"[9308.413236694329, -2975.8973345991362, -16189.977533526244]","[-30.760841670334827, 9.873448975261798, 53.452699846063496]"
66,"[13599.04566095868, 2262.499408016401, -12577.56212846673]","[-44.91725424337018, -7.3919899244953795, 41.529909158996]"
67,"[14992.970578130722, 13040.484669816751, -13518.683207915808]","[-49.493477462384234, -42.95125466668054, 44.619153986913105]"
68,"[10961.064222287256, 11576.727570581084, -10634.67179306531]","[-36.14774172623328, -38.18574314654538, 35.1509172894906]"
69,"[12538.310927184612, -2203.4209816971206, -9340.42376652686]","[-41.39662682713116, 7.309800802855083, 30.820350403875395]"
70,"[9675.14706092307, 5868.087688973342, -9176.886384231808]","[-31.928309703337433, -19.293432095269118, 30.247166560547075]"
71,"[7278.417167035557, -1939.1150704431964, -7429.75946903363]","[-24.04172008457616, 6.4435528850923705, 24.49454093706319]"
72,"[6637.907932338393, 613.4578711290425, 9466.740137450735]","[-21.972277375742937, -1.9402399804443435, -31.286604714614157]"
73,"[6292.452668918601, 15015.790149381659, 11698.138348916114]","[-20.859209893488732, -49.459840067751735, -38.61692269996833]"
74,"[4093.821761180294, 11352.949129186456, 14481.589369279662]","[-13.606335529969332, -37.43315692243232, -47.762050432804514]"
75,"[4903.664675086999, 9858.493668013783, 11070.477600988506]","[-16.235779200389086, -32.528619526696076, -36.47641650426009]"
76,"[10963.087983703415, -8744.123860741829, 6359.077288278105]","[-36.20753492077044, 28.877887628358092, -20.919190871264682]"
77,"[20213.692267810944, 9003.54071761399, 3699.178956789983]","[-66.83827577861699, -29.79827487920341, -12.11376005726429]"
78,"[7461.743496976789, 23509.839456256854, 14567.341325245532]","[-24.72101092975589, -77.80318800240985, -48.03530361858379]"
79,"[694.2479086392774, 14718.537297062434, -19036.005563869257]","[-2.3458091404506325, -48.757966258785636, 62.94437102155686]"
80,"[-2263.0271757097016, -3432.2617782177226, 1150.5671702589905]","[7.450525044869567, 11.289802152035914, -3.788913322969649]"
81,"[5531.1462127856985, -23007.57158893676, 12013.045676031821]","[-18.29628910096536, 76.03495014917259, -39.70934749956123]"
