Lat,Long,EOF1,EOF2
  -20.0000000,    0.0000000,    0.0031629,   -0.0059413
  -20.0000000,    2.5000000,    0.0038053,   -0.0078570
  -20.0000000,    5.0000000,    0.0054602,   -0.0088763
  -20.0000000,    7.5000000,    0.0077931,   -0.0088084
  -20.0000000,   10.0000000,    0.0079515,   -0.0095511
  -20.0000000,   12.5000000,    0.0137145,   -0.0130697
  -20.0000000,   15.0000000,    0.0143343,   -0.0053036
  -20.0000000,   17.5000000,    0.0123578,   -0.0083670
  -20.0000000,   20.0000000,    0.0166517,   -0.0025809
  -20.0000000,   22.5000000,    0.0102414,    0.0011856
  -20.0000000,   25.0000000,    0.0200773,    0.0009487
  -20.0000000,   27.5000000,    0.0145519,    0.0181064
  -20.0000000,   30.0000000,    0.0051645,    0.0157057
  -20.0000000,   32.5000000,    0.0059603,    0.0196690
  -20.0000000,   35.0000000,   -0.0013179,    0.0211441
  -20.0000000,   37.5000000,   -0.0033665,    0.0226473
  -20.0000000,   40.0000000,   -0.0140135,    0.0176958
  -20.0000000,   42.5000000,   -0.0103193,    0.0097014
  -20.0000000,   45.0000000,   -0.0141237,    0.0024389
  -20.0000000,   47.5000000,    0.0028043,   -0.0105336
  -20.0000000,   50.0000000,    0.0091759,    0.0091098
  -20.0000000,   52.5000000,    0.0008248,    0.0105099
  -20.0000000,   55.0000000,   -0.0048635,    0.0133307
  -20.0000000,   57.5000000,   -0.0048928,   -0.0019145
  -20.0000000,   60.0000000,    0.0085532,   -0.0011858
  -20.0000000,   62.5000000,    0.0117647,    0.0001417
  -20.0000000,   65.0000000,    0.0188116,    0.0116941
  -20.0000000,   67.5000000,    0.0054136,    0.0210468
  -20.0000000,   70.0000000,    0.0011726,    0.0200583
  -20.0000000,   72.5000000,   -0.0092041,    0.0235111
  -20.0000000,   75.0000000,   -0.0124249,    0.0149651
  -20.0000000,   77.5000000,   -0.0034252,    0.0107460
  -20.0000000,   80.0000000,    0.0002583,    0.0193167
  -20.0000000,   82.5000000,   -0.0080790,    0.0193394
  -20.0000000,   85.0000000,   -0.0088125,    0.0122119
  -20.0000000,   87.5000000,   -0.0112223,    0.0089393
  -20.0000000,   90.0000000,   -0.0065398,    0.0015720
  -20.0000000,   92.5000000,   -0.0013833,    0.0023953
  -20.0000000,   95.0000000,    0.0012333,    0.0040387
  -20.0000000,   97.5000000,    0.0048360,    0.0052648
  -20.0000000,  100.0000000,    0.0095786,    0.0111944
  -20.0000000,  102.5000000,    0.0051091,    0.0205100
