Lat,Long,EOF1,EOF2
  -20.0000000,    0.0000000,   -0.0007842,    0.0073457
  -20.0000000,    2.5000000,    0.0001909,    0.0081270
  -20.0000000,    5.0000000,   -0.0006654,    0.0067317
  -20.0000000,    7.5000000,    0.0038322,    0.0072829
  -20.0000000,   10.0000000,    0.0035700,    0.0092232
  -20.0000000,   12.5000000,    0.0108344,    0.0124102
  -20.0000000,   15.0000000,    0.0023518,    0.0371260
  -20.0000000,   17.5000000,   -0.0242751,    0.0376125
  -20.0000000,   20.0000000,   -0.0309860,    0.0196809
  -20.0000000,   22.5000000,   -0.0256676,    0.0088694
  -20.0000000,   25.0000000,   -0.0210516,    0.0028498
  -20.0000000,   27.5000000,   -0.0093676,   -0.0059741
  -20.0000000,   30.0000000,    0.0037825,   -0.0019871
  -20.0000000,   32.5000000,    0.0040798,    0.0057437
  -20.0000000,   35.0000000,    0.0048469,    0.0140038
  -20.0000000,   37.5000000,   -0.0029944,    0.0174792
  -20.0000000,   40.0000000,   -0.0026309,    0.0145679
  -20.0000000,   42.5000000,   -0.0068753,    0.0176556
  -20.0000000,   45.0000000,   -0.0065724,    0.0130031
  -20.0000000,   47.5000000,   -0.0099542,    0.0163839
  -20.0000000,   50.0000000,   -0.0153852,    0.0108137
  -20.0000000,   52.5000000,   -0.0158210,    0.0093284
  -20.0000000,   55.0000000,   -0.0171657,    0.0053716
  -20.0000000,   57.5000000,   -0.0156740,    0.0086772
  -20.0000000,   60.0000000,   -0.0209987,    0.0078111
  -20.0000000,   62.5000000,   -0.0245292,    0.0087566
  -20.0000000,   65.0000000,   -0.0308750,    0.0028027
  -20.0000000,   67.5000000,   -0.0317560,   -0.0035287
  -20.0000000,   70.0000000,   -0.0335603,   -0.0133563
  -20.0000000,   72.5000000,   -0.0253332,   -0.0189706
  -20.0000000,   75.0000000,   -0.0211495,   -0.0231020
  -20.0000000,   77.5000000,   -0.0122613,   -0.0227345
  -20.0000000,   80.0000000,   -0.0130585,   -0.0205183
  -20.0000000,   82.5000000,   -0.0078753,   -0.0238154
  -20.0000000,   85.0000000,   -0.0040238,   -0.0198271
  -20.0000000,   87.5000000,   -0.0012366,   -0.0177115
