Lat,Long,EOF1,EOF2
  -20.0000000,    0.0000000,    0.0115728,    0.0111934
  -20.0000000,    2.5000000,    0.0100970,    0.0104899
  -20.0000000,    5.0000000,    0.0079894,    0.0080583
  -20.0000000,    7.5000000,    0.0111823,    0.0065222
  -20.0000000,   10.0000000,    0.0107534,    0.0078699
  -20.0000000,   12.5000000,    0.0128127,    0.0086135
  -20.0000000,   15.0000000,    0.0093787,    0.0122160
  -20.0000000,   17.5000000,    0.0083701,    0.0100205
  -20.0000000,   20.0000000,    0.0067641,    0.0122066
  -20.0000000,   22.5000000,    0.0045882,    0.0106961
  -20.0000000,   25.0000000,    0.0029459,    0.0100451
  -20.0000000,   27.5000000,    0.0029855,    0.0074093
  -20.0000000,   30.0000000,    0.0029607,    0.0067979
  -20.0000000,   32.5000000,    0.0042213,    0.0039965
  -20.0000000,   35.0000000,    0.0051685,    0.0030087
  -20.0000000,   37.5000000,    0.0073753,    0.0020695
  -20.0000000,   40.0000000,    0.0064605,    0.0044652
  -20.0000000,   42.5000000,    0.0075010,    0.0014855
  -20.0000000,   45.0000000,    0.0075081,    0.0040418
  -20.0000000,   47.5000000,    0.0073568,    0.0017583
  -20.0000000,   50.0000000,    0.0078795,    0.0044830
  -20.0000000,   52.5000000,    0.0053579,    0.0017311
  -20.0000000,   55.0000000,    0.0076956,    0.0002832
  -20.0000000,   57.5000000,    0.0116379,   -0.0015180
  -20.0000000,   60.0000000,    0.0141693,    0.0053031
  -20.0000000,   62.5000000,    0.0105311,    0.0039013
  -20.0000000,   65.0000000,    0.0146350,    0.0059876
  -20.0000000,   67.5000000,    0.0110349,    0.0082994
  -20.0000000,   70.0000000,    0.0114088,    0.0071254
  -20.0000000,   72.5000000,    0.0115407,    0.0069506
  -20.0000000,   75.0000000,    0.0141570,    0.0101215
  -20.0000000,   77.5000000,    0.0086536,    0.0125628
  -20.0000000,   80.0000000,    0.0070022,    0.0057114
  -20.0000000,   82.5000000,    0.0119686,    0.0029663
  -20.0000000,   85.0000000,    0.0161645,    0.0060993
  -20.0000000,   87.5000000,    0.0177507,    0.0106912
  -20.0000000,   90.0000000,    0.0153145,    0.0161429
  -20.0000000,   92.5000000,    0.0135446,    0.0138871
  -20.0000000,   95.0000000,    0.0185148,    0.0201542
  -20.0000000,   97.5000000,    0.0096328,    0.0253269
  -20.0000000,  100.0000000,    0.0085078,    0.0225141
  -20.0000000,  102.5000000,    0.0034287,    0.0242196
  -20.0000000,  105.0000000,    0.0041099,    0.0161471
  -20.0000000,  107.5000000,    0.0079976,    0.0197459
  -20.0000000,  110.0000000,    0.0028645,    0.0188059
  -20.0000000,  112.5000000,    0.0059543,    0.0160335
  -20.0000000,  115.0000000,    0.0067597,    0.0213365
  -20.0000000,  117.5000000,   -0.0009643,    0.0238456
  -20.0000000,  120.0000000,   -0.0033256,    0.0165004
  -20.0000000,  122.5000000,    0.0009606,    0.0147361
  -20.0000000,  125.0000000,    0.0021745,    0.0185978
  -20.0000000,  127.5000000,   -0.0029247,    0.0207041
  -20.0000000,  130.0000000,   -0.0048201,    0.0159295
  -20.0000000,  132.5000000,   -0.0041259,    0.0157911
  -20.0000000,  135.0000000,   -0.0056837,    0.0140623
  -20.0000000,  137.5000000,   -0.0060421,    0.0142003
  -20.0000000,  140.0000000,   -0.0083732,    0.0107309
  -20.0000000,  142.5000000,   -0.0043470,    0.0088405
  -20.0000000,  145.0000000,   -0.0060817,    0.0121915
  -20.0000000,  147.5000000,   -0.0074399,    0.0074618
  -20.0000000,  150.0000000,   -0.0036841,    0.0074896
  -20.0000000,  152.5000000,   -0.0050781,    0.0111083
  -20.0000000,  155.0000000,   -0.0101176,    0.0085754
  -20.0000000,  157.5000000,   -0.0093454,    0.0013716
  -20.0000000,  160.0000000,   -0.0043597,   -0.0008478
  -20.0000000,  162.5000000,    0.0001767,   -0.0005236
  -20.0000000,  165.0000000,    0.0021893,    0.0047252
  -20.0000000,  167.5000000,   -0.0002604,    0.0053874
  -20.0000000,  170.0000000,    0.0030800,    0.0077074
  -20.0000000,  172.5000000,   -0.0011129,    0.0145589
  -20.0000000,  175.0000000,   -0.0060121,    0.0097851
  -20.0000000,  177.5000000,   -0.0025848,    0.0093971
  -20.0000000,  180.0000000,   -0.0033516,    0.0116607
  -20.0000000,  182.5000000,   -0.0034119,    0.0141834
  -20.0000000,  185.0000000,   -0.0085848,    0.0159573
  -20.0000000,  187.5000000,   -0.0095631,    0.0143808
  -20.0000000,  190.0000000,   -0.0155316,    0.0164922
  -20.0000000,  192.5000000,   -0.0171495,    0.0068471
  -20.0000000,  195.0000000,   -0.0135917,    0.0110697
  -20.0000000,  197.5000000,   -0.0222859,    0.0056582
  -20.0000000,  200.0000000,   -0.0148938,    0.0004199
  -20.0000000,  202.5000000,   -0.0186710,    0.0060963
  -20.0000000,  205.0000000,   -0.0234499,   -0.0019830
  -20.0000000,  207.5000000,   -0.0208134,   -0.0086253
  -20.0000000,  210.0000000,   -0.0156909,   -0.0105135
  -20.0000000,  212.5000000,   -0.0148782,   -0.0094666
  -20.0000000,  215.0000000,   -0.0151722,   -0.0121921
  -20.0000000,  217.5000000,   -0.0137387,   -0.0186369
  -20.0000000,  220.0000000,   -0.0025177,   -0.0221444
  -20.0000000,  222.5000000,    0.0028937,   -0.0117903
  -20.0000000,  225.0000000,   -0.0013706,   -0.0064471
  -20.0000000,  227.5000000,   -0.0054858,   -0.0066100
  -20.0000000,  230.0000000,   -0.0063569,   -0.0109070
  -20.0000000,  232.5000000,   -0.0045238,   -0.0149936
  -20.0000000,  235.0000000,    0.0028814,   -0.0161429
  -20.0000000,  237.5000000,    0.0037356,   -0.0084955
  -20.0000000,  240.0000000,    0.0017306,   -0.0104960
  -20.0000000,  242.5000000,    0.0054453,   -0.0052883
  -20.0000000,  245.0000000,   -0.0018623,   -0.0021794
  -20.0000000,  247.5000000,   -0.0041063,   -0.0069161
  -20.0000000,  250.0000000,   -0.0041821,   -0.0068796
  -20.0000000,  252.5000000,   -0.0061614,   -0.0080646
  -20.0000000,  255.0000000,   -0.0062870,   -0.0109296
  -20.0000000,  257.5000000,   -0.0067748,   -0.0117241
  -20.0000000,  260.0000000,   -0.0080901,   -0.0173418
  -20.0000000,  262.5000000,   -0.0020552,   -0.0214252
  -20.0000000,  265.0000000,    0.0000999,   -0.0192530
  -20.0000000,  267.5000000,    0.0017899,   -0.0220022
  -20.0000000,  270.0000000,    0.0055998,   -0.0201993
  -20.0000000,  272.5000000,    0.0046290,   -0.0207188
  -20.0000000,  275.0000000,    0.0106200,   -0.0225666
  -20.0000000,  277.5000000,    0.0135352,   -0.0160878
  -20.0000000,  280.0000000,    0.0098372,   -0.0129738
  -20.0000000,  282.5000000,    0.0085952,   -0.0165527
  -20.0000000,  285.0000000,    0.0120794,   -0.0146058
  -20.0000000,  287.5000000,    0.0071526,   -0.0148482
  -20.0000000,  290.0000000,    0.0128255,   -0.0182863
  -20.0000000,  292.5000000,    0.0073877,   -0.0132219
  -20.0000000,  295.0000000,    0.0057515,   -0.0319801
  -20.0000000,  297.5000000,    0.0265250,   -0.0353055
  -20.0000000,  300.0000000,    0.0337067,   -0.0244854
  -20.0000000,  302.5000000,    0.0379236,   -0.0170831
  -20.0000000,  305.0000000,    0.0400057,   -0.0073465
  -20.0000000,  307.5000000,    0.0342858,    0.0035449
  -20.0000000,  310.0000000,    0.0270642,    0.0052100
  -20.0000000,  312.5000000,    0.0215644,    0.0071271
  -20.0000000,  315.0000000,    0.0162590,    0.0006137
  -20.0000000,  317.5000000,    0.0208551,   -0.0018133
  -20.0000000,  320.0000000,    0.0216340,   -0.0006526
  -20.0000000,  322.5000000,    0.0246977,    0.0040748
  -20.0000000,  325.0000000,    0.0184864,    0.0078942
  -20.0000000,  327.5000000,    0.0183800,    0.0052378
  -20.0000000,  330.0000000,    0.0164494,    0.0084419
  -20.0000000,  332.5000000,    0.0115445,    0.0049737
  -20.0000000,  335.0000000,    0.0143819,   -0.0002207
  -20.0000000,  337.5000000,    0.0181972,    0.0031651
  -20.0000000,  340.0000000,    0.0176634,    0.0044555
  -20.0000000,  342.5000000,    0.0204171,    0.0079831
  -20.0000000,  345.0000000,    0.0158541,    0.0117426
  -20.0000000,  347.5000000,    0.0142328,    0.0100231
  -20.0000000,  350.0000000,    0.0125256,    0.0098581
  -20.0000000,  352.5000000,    0.0120058,    0.0080071
  -20.0000000,  355.0000000,    0.0128576,    0.0070118
  -20.0000000,  357.5000000,    0.0144419,    0.0092961
  -17.5000000,    0.0000000,    0.0092482,    0.0108119
  -17.5000000,    2.5000000,    0.0084470,    0.0085540
  -17.5000000,    5.0000000,    0.0097778,    0.0086550
  -17.5000000,    7.5000000,    0.0087759,    0.0092791
  -17.5000000,   10.0000000,    0.0083339,    0.0102341
  -17.5000000,   12.5000000,    0.0051177,    0.0090960
  -17.5000000,   15.0000000,    0.0066148,    0.0069603
  -17.5000000,   17.5000000,    0.0053685,    0.0098513
  -17.5000000,   20.0000000,    0.0035236,    0.0086711
  -17.5000000,   22.5000000,    0.0024141,    0.0090099
  -17.5000000,   25.0000000,    0.0006896,    0.0071596
  -17.5000000,   27.5000000,    0.0005936,    0.0050803
  -17.5000000,   30.0000000,    0.0014958,    0.0022309
  -17.5000000,   32.5000000,    0.0027670,    0.0015011
  -17.5000000,   35.0000000,    0.0033995,   -0.0001587
  -17.5000000,   37.5000000,    0.0049750,    0.0002586
  -17.5000000,   40.0000000,    0.0036716,   -0.0000875
  -17.5000000,   42.5000000,    0.0064008,   -0.0030721
  -17.5000000,   45.0000000,    0.0086687,    0.0000781
  -17.5000000,   47.5000000,    0.0061866,    0.0008804
  -17.5000000,   50.0000000,    0.0064440,   -0.0004490
  -17.5000000,   52.5000000,    0.0062019,   -0.0013492
  -17.5000000,   55.0000000,    0.0088794,   -0.0038811
  -17.5000000,   57.5000000,    0.0130915,    0.0000939
  -17.5000000,   60.0000000,    0.0106310,    0.0035763
  -17.5000000,   62.5000000,    0.0098399,    0.0018085
  -17.5000000,   65.0000000,    0.0104760,    0.0022265
  -17.5000000,   67.5000000,    0.0123412,   -0.0025997
  -17.5000000,   70.0000000,    0.0226650,    0.0021084
  -17.5000000,   72.5000000,    0.0183802,    0.0153124
  -17.5000000,   75.0000000,    0.0117045,    0.0146853
  -17.5000000,   77.5000000,    0.0063695,    0.0136563
  -17.5000000,   80.0000000,    0.0044498,    0.0048034
  -17.5000000,   82.5000000,    0.0109367,    0.0018190
  -17.5000000,   85.0000000,    0.0169680,    0.0056486
  -17.5000000,   87.5000000,    0.0162065,    0.0166905
  -17.5000000,   90.0000000,    0.0084189,    0.0158006
  -17.5000000,   92.5000000,    0.0099202,    0.0146514
  -17.5000000,   95.0000000,    0.0069633,    0.0163588
  -17.5000000,   97.5000000,    0.0058737,    0.0143964
