Lat,Long,EOF1,EOF2
  -20.0000000,    0.0000000,    0.0038879,   -0.0123513
  -20.0000000,    2.5000000,    0.0034891,   -0.0136201
  -20.0000000,    5.0000000,    0.0041466,   -0.0142180
  -20.0000000,    7.5000000,    0.0016043,   -0.0157238
  -20.0000000,   10.0000000,    0.0031248,   -0.0148871
  -20.0000000,   12.5000000,    0.0006888,   -0.0172516
  -20.0000000,   15.0000000,   -0.0019277,   -0.0205805
  -20.0000000,   17.5000000,   -0.0014100,   -0.0148835
  -20.0000000,   20.0000000,    0.0010743,   -0.0092491
  -20.0000000,   22.5000000,    0.0090190,   -0.0110207
  -20.0000000,   25.0000000,    0.0094260,   -0.0140791
  -20.0000000,   27.5000000,    0.0086043,   -0.0286934
  -20.0000000,   30.0000000,    0.0003187,   -0.0297867
  -20.0000000,   32.5000000,   -0.0056426,   -0.0417402
  -20.0000000,   35.0000000,   -0.0294432,   -0.0358783
  -20.0000000,   37.5000000,   -0.0205060,   -0.0199981
  -20.0000000,   40.0000000,   -0.0180499,   -0.0183254
  -20.0000000,   42.5000000,   -0.0217862,   -0.0204752
  -20.0000000,   45.0000000,   -0.0278953,   -0.0157803
  -20.0000000,   47.5000000,   -0.0294358,   -0.0113132
  -20.0000000,   50.0000000,   -0.0257163,   -0.0001872
  -20.0000000,   52.5000000,   -0.0096953,    0.0031649
  -20.0000000,   55.0000000,   -0.0039802,   -0.0045201
  -20.0000000,   57.5000000,    0.0000387,   -0.0069651
  -20.0000000,   60.0000000,    0.0026606,   -0.0027165
  -20.0000000,   62.5000000,    0.0026166,   -0.0044137
  -20.0000000,   65.0000000,   -0.0020899,   -0.0082116
  -20.0000000,   67.5000000,   -0.0040737,   -0.0095860
  -20.0000000,   70.0000000,   -0.0081296,   -0.0115036
  -20.0000000,   72.5000000,   -0.0068666,   -0.0084828
  -20.0000000,   75.0000000,   -0.0071360,   -0.0035345
  -20.0000000,   77.5000000,   -0.0026278,   -0.0004855
  -20.0000000,   80.0000000,   -0.0067327,   -0.0105868
  -20.0000000,   82.5000000,   -0.0036685,   -0.0036979
  -20.0000000,   85.0000000,   -0.0012421,   -0.0139912
  -20.0000000,   87.5000000,   -0.0044245,   -0.0131887
  -20.0000000,   90.0000000,   -0.0011757,   -0.0098756
  -20.0000000,   92.5000000,   -0.0018447,   -0.0138205
  -20.0000000,   95.0000000,    0.0001337,   -0.0131719
  -20.0000000,   97.5000000,   -0.0002792,   -0.0147570
  -20.0000000,  100.0000000,   -0.0023037,   -0.0129331
  -20.0000000,  102.5000000,   -0.0037838,   -0.0096505
  -20.0000000,  105.0000000,   -0.0014703,   -0.0092897
  -20.0000000,  107.5000000,   -0.0001619,   -0.0097366
  -20.0000000,  110.0000000,    0.0005937,   -0.0142705
  -20.0000000,  112.5000000,   -0.0017435,   -0.0158793
  -20.0000000,  115.0000000,   -0.0012966,   -0.0136373
  -20.0000000,  117.5000000,   -0.0006687,   -0.0157118
  -20.0000000,  120.0000000,   -0.0001560,   -0.0236303
  -20.0000000,  122.5000000,   -0.0074875,   -0.0367532
  -20.0000000,  125.0000000,   -0.0055368,   -0.0341262
  -20.0000000,  127.5000000,   -0.0048902,   -0.0459232
  -20.0000000,  130.0000000,   -0.0138932,   -0.0495570
  -20.0000000,  132.5000000,   -0.0158169,   -0.0368280
  -20.0000000,  135.0000000,   -0.0182067,   -0.0305565
  -20.0000000,  137.5000000,   -0.0290120,   -0.0243990
  -20.0000000,  140.0000000,   -0.0312929,   -0.0168839
  -20.0000000,  142.5000000,   -0.0288383,   -0.0133357
  -20.0000000,  145.0000000,   -0.0317097,    0.0029608
  -20.0000000,  147.5000000,   -0.0197488,    0.0153048
  -20.0000000,  150.0000000,   -0.0158502,    0.0081659
  -20.0000000,  152.5000000,   -0.0169371,    0.0111523
  -20.0000000,  155.0000000,   -0.0116823,    0.0101083
  -20.0000000,  157.5000000,   -0.0084278,    0.0076942
  -20.0000000,  160.0000000,   -0.0087800,    0.0091513
  -20.0000000,  162.5000000,   -0.0050730,    0.0080584
  -20.0000000,  165.0000000,   -0.0077130,    0.0015792
  -20.0000000,  167.5000000,   -0.0080399,    0.0022332
  -20.0000000,  170.0000000,   -0.0053641,   -0.0040398
  -20.0000000,  172.5000000,   -0.0178874,   -0.0178915
  -20.0000000,  175.0000000,   -0.0366324,   -0.0094075
  -20.0000000,  177.5000000,   -0.0306899,    0.0087396
  -20.0000000,  180.0000000,   -0.0245445,    0.0165866
  -20.0000000,  182.5000000,   -0.0208653,    0.0297865
  -20.0000000,  185.0000000,   -0.0077824,    0.0330153
  -20.0000000,  187.5000000,   -0.0033408,    0.0302098
  -20.0000000,  190.0000000,   -0.0028191,    0.0286352
  -20.0000000,  192.5000000,   -0.0046916,    0.0277298
  -20.0000000,  195.0000000,   -0.0028937,    0.0241869
  -20.0000000,  197.5000000,   -0.0008012,    0.0265888
  -20.0000000,  200.0000000,    0.0005337,    0.0216732
  -20.0000000,  202.5000000,   -0.0026902,    0.0172954
